,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
San Jose Sharks,990.97,982.16,972.13,962.55,953.46,945.62,955.44,948.27,957.66,949.57,962.82,973.18,965.71,978.91,989.2,999.05,1007.37,995.48,984.89,994.04,1003.22,994.53,1004.95,995.3,1003.29,993.57,1003.37,992.27,984.03,995.98,986.41,995.7,1004.26,1013.78,1005.7,993.98,981.68,991.54,1000.49,1011.14,1001.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Kraken,1009.6,1018.16,1009.14,999.5,1008.57,997.73,987.96,999.8,1008.63,1000.4,991.18,1000.7,987.5,995.49,986.88,978.07,989.01,999.6,990.33,999.86,1008.46,1000.01,992.25,979.98,967.42,958.92,950.18,960.36,950.79,941.79,936.48,927.68,939.4,951.27,960.52,972.53,963.25,974.77,983.04,994.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis Blues,988.0,997.86,1008.36,995.55,1005.75,995.92,986.45,977.54,968.57,959.71,951.64,944.6,954.68,944.06,955.53,947.54,955.93,948.22,938.89,931.05,923.89,935.39,927.64,921.35,932.47,942.56,934.75,926.57,937.08,947.71,939.68,928.21,938.08,928.35,938.21,930.43,944.96,937.04,947.25,939.9,934.28,944.1,955.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,991.2,981.56,991.5,983.15,975.25,966.66,958.65,968.71,978.8,989.26,998.69,1009.48,1000.81,1011.8,1020.2,1008.08,1017.68,1004.9,1017.69,1025.14,1034.4,1044.22,1052.61,1061.32,1070.13,1059.63,1049.35,1039.1,1028.28,1039.3,1049.3,1040.35,1028.98,1018.68,1029.33,1037.25,1046.74,1054.61,1061.75,1068.81,1078.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,1010.4,999.34,990.54,1001.52,1010.15,1001.08,991.45,981.96,991.34,999.08,989.07,1000.48,1009.86,1020.26,1010.57,1002.7,993.77,985.17,976.82,984.66,976.1,965.95,975.19,966.91,980.09,990.9,1003.7,994.85,1005.67,996.38,985.78,993.7,983.47,973.29,965.65,975.59,986.08,978.23,989.61,996.84,988.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Mammoth,991.46,1000.7,990.38,999.64,1009.22,1017.73,1027.04,1036.51,1045.93,1054.38,1041.89,1031.1,1038.8,1028.4,1017.2,1006.95,1015.95,1007.06,998.87,989.72,979.44,988.41,999.86,990.92,983.57,973.48,963.68,980.18,989.44,978.82,969.69,961.51,971.08,980.04,971.23,982.93,974.62,982.94,977.64,968.97,983.08,972.63,981.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver Canucks,1011.48,1001.32,990.82,1001.44,1010.14,1019.4,1008.08,998.34,990.16,999.01,988.44,996.51,984.62,993.06,982.23,991.62,983.94,975.29,968.18,980.96,971.08,963.22,952.25,963.36,955.37,947.52,941.9,932.64,944.78,934.96,926.91,937.62,949.59,962.7,973.22,963.55,953.69,962.97,953.75,945.48,937.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegas Golden Knights,990.94,999.97,991.41,1000.9,1010.1,1020.68,1031.83,1020.06,1009.97,1021.06,1011.3,1020.66,1009.67,1001.85,992.71,984.2,993.53,984.47,993.75,1004.03,996.08,984.63,976.39,966.8,976.52,985.46,996.73,1005.92,997.57,1007.27,1014.65,1005.3,993.97,985.34,997.64,992.14,983.93,974.54,964.72,955.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Capitals,990.4,1000.03,1009.18,1017.53,1028.14,1018.88,1028.65,1039.06,1024.02,1014.74,1004.22,994.76,1005.38,996.02,987.62,1000.02,989.54,982.18,991.9,1001.76,1012.75,1003.49,1014.39,1023.16,1031.44,1041.25,1049.74,1060.84,1051.07,1058.66,1049.21,1035.36,1024.02,1034.25,1022.92,1013.9,1001.81,1010.37,1001.14,1010.97,1001.54,990.87,1000.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg Jets,991.2,1000.19,1010.04,1019.99,1029.51,1036.53,1024.69,1032.1,1023.65,1030.91,1040.6,1050.79,1038.21,1027.92,1018.37,1027.02,1016.08,1022.86,1032.7,1024.04,1013.36,1004.59,994.0,1002.72,990.56,981.82,992.03,980.33,974.01,965.45,979.3,970.47,960.61,955.46,947.14,941.11,933.39,927.01,919.78,912.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
